faq_id,category,question_en,answer_en,payment_method,keywords
FAQ-035,top_up_failure,My top-up is stuck in "Pending" status for over an hour — is my money safe?,"Yes, funds are held securely by the payment processor during this state. Most pending top-ups clear within 2 hours; if it exceeds 4 hours, the transaction auto-cancels and any deducted amount is refunded to the source within 5 business days.",N/A,"top-up pending, atka hua, paisa mehfooz, refund"
FAQ-036,top_up_failure,What is the minimum and maximum top-up amount allowed?,"The minimum top-up is PKR 100 per transaction. The maximum single top-up is PKR 100,000, with a daily cumulative top-up cap of PKR 200,000 for Verified accounts and PKR 25,000 for Basic accounts.",N/A,"minimum top-up, maximum top-up, hadd, limit"
FAQ-037,top_up_failure,My debit card top-up failed because the card had expired — how do I fix it?,"Update your card details under Wallet > Payment Methods > Manage Cards, remove the expired card, and add your new card. You'll need to complete a small OTP-verified test charge before it can be used for top-ups.",Debit Card,"card expire, purana card, naya card, top-up fail"
FAQ-038,top_up_failure,I gave cash to a Zar Labs agent for a top-up but it hasn't reflected — what do I do?,"Ask the agent for the physical receipt with the transaction reference number. Agent cash top-ups usually reflect within 10 minutes; if not, contact support with the receipt details so we can trace it with the agent's terminal ID.",N/A,"agent cash, top-up nahi, receipt, rasid"
FAQ-039,top_up_failure,Why does my top-up fail with "KYC Limit Reached" even though I have funds?,"Basic (unverified) accounts are capped at PKR 25,000 in monthly inflows. Once this limit is hit, further top-ups are blocked until you complete full CNIC verification, which raises the cap to PKR 500,000.",N/A,"KYC limit, tasdeeq, top-up block, hadd"
FAQ-040,top_up_failure,I've had several failed top-up attempts — will my account get locked?,"Zar Labs temporarily restricts top-ups for 30 minutes after 5 consecutive failed attempts as a security measure. This does not lock your entire account; you can still send money and check your balance during this time.",N/A,"baar baar fail, account lock, 30 minute, security"
FAQ-041,kyc_cnic,What documents are required for CNIC verification?,"You need a valid, unexpired CNIC or NICOP (front and back, clearly legible) and a live selfie taken within the app for facial matching against your NADRA record. No physical document submission is required.",N/A,"CNIC documents, tasdeeq, selfie, NICOP"
FAQ-042,kyc_cnic,My CNIC has expired — can I still verify my account?,"No, NADRA Verisys requires an unexpired CNIC. Please renew your CNIC at any NADRA office and resubmit clear photos once you receive the renewed card; expedited NADRA renewal typically takes 7 working days.",N/A,"CNIC expire, purani CNIC, renew, tasdeeq fail"
FAQ-043,kyc_cnic,Why does NADRA verification keep failing for my CNIC?,"Common reasons include mismatched name spelling, a low-resolution photo obscuring the CNIC number, or recent NADRA record updates not yet synced. Ensure your CNIC image is well-lit and unedited, and retry after 24 hours if it's a sync delay.",N/A,"NADRA fail, mismatch, tasdeeq fail, dobara"
FAQ-044,kyc_cnic,My selfie liveness check keeps failing — what should I do?,"Ensure good lighting, remove glasses or masks, and follow the on-screen prompts (blink, turn head) fully. Hold the phone at eye level about 30cm away. If it fails 3 times, the app will offer a manual document review option instead.",N/A,"selfie fail, liveness, chehra, dobara koshish"
FAQ-045,kyc_cnic,My name on my CNIC doesn't match the name I registered with — what now?,"Submit a Name Correction Request under Profile > Verification > Report Mismatch, along with your CNIC photo. Our team manually reviews and corrects the account name within 2-3 business days to match your CNIC exactly.",N/A,"naam mismatch, CNIC naam, correction, tasdeeq"
FAQ-046,kyc_cnic,Can I verify a family member's Zar Labs account using my own CNIC?,"No, each Zar Labs account must be verified using the CNIC of the actual account holder. One CNIC can only be linked to a single Zar Labs account, in line with State Bank of Pakistan regulations.",N/A,"family account, ek CNIC, ek khata, SBP rule"
FAQ-047,kyc_cnic,Can a minor (under 18) open a verified Zar Labs account?,"Minors cannot independently verify an account since CNICs are issued at 18. Zar Labs offers a Junior Wallet linked to a verified parent/guardian account, with a spending cap of PKR 10,000 per month, until the minor turns 18.",N/A,"minor account, bachay ka khata, junior wallet, guardian"
FAQ-048,kyc_cnic,I renewed my CNIC and the number changed — do I need to update my Zar Labs profile?,"If your CNIC number itself changed (rare, but happens with re-issued cards), go to Profile > Update CNIC and resubmit new front/back photos plus a fresh selfie. Standard renewals with the same number don't require any update.",N/A,"CNIC number change, naya CNIC, update, tasdeeq"
FAQ-049,kyc_cnic,I'm getting an error that my CNIC is already registered with another account — why?,"Each CNIC can only be linked to one Zar Labs account per SBP EMI regulations. If you believe this is an error or you've lost access to your old account, contact support to initiate an account recovery and merge review.",N/A,"CNIC already registered, dusra khata, recovery, SBP"
FAQ-050,kyc_cnic,Does Zar Labs offer video-based KYC for verification?,"Video KYC is currently available for accounts requiring manual re-verification, such as failed automated checks. Schedule a video call under Profile > Verification > Request Video KYC; sessions are available 9 AM-9 PM daily and take about 5 minutes.",N/A,"video KYC, live call, tasdeeq, manual review"
FAQ-051,login_security,How do I reset my forgotten Zar Labs password?,"Tap ""Forgot Password"" on the login screen, enter your registered mobile number, and verify the OTP sent via SMS. You can then set a new password immediately; it must be at least 8 characters with a number and symbol.",N/A,"password bhool gaya, reset, OTP, naya password"
FAQ-052,login_security,I forgot my MPIN — how do I reset it?,"Go to Login > Forgot MPIN, verify your identity via OTP and a quick selfie match, then set a new 4-digit MPIN. For security, MPIN cannot be reset more than twice within 24 hours.",N/A,"MPIN bhool gaya, reset, OTP, selfie"
FAQ-053,login_security,My account got locked after too many failed login attempts — how do I unlock it?,"After 5 failed attempts, the account locks for 30 minutes automatically. You may also unlock immediately by verifying an OTP sent to your registered mobile number.",N/A,"account lock, baar baar fail, unlock, OTP"
FAQ-054,login_security,How do I enable or disable fingerprint/face login?,"Go to Profile > Security > Biometric Login and toggle it on or off. Enabling it lets you log in and authorize small transactions using your device's fingerprint or face ID instead of entering your MPIN each time.",N/A,"biometric, fingerprint, face login, on off"
FAQ-055,login_security,I'm not receiving my OTP for login — what should I do?,"Ensure you have signal and that SMS isn't being blocked by a ""Do Not Disturb"" call/SMS service on your SIM. Wait 60 seconds and tap ""Resend OTP""; if still not received after 3 attempts, use the ""Send via Call"" option instead.",N/A,"OTP nahi aaya, resend, signal, SMS block"
FAQ-056,login_security,"Is changing my registered mobile number a security risk, and how is it protected?","Yes, so we require OTP verification on both your old and new number plus a live selfie match before the change is approved, to prevent SIM-swap fraud. The change is logged and you'll get a confirmation SMS on both numbers.",N/A,"number change security, SIM swap, OTP, selfie"
FAQ-057,login_security,Why did I get a "New Device Login" verification prompt?,"Zar Labs flags logins from devices or locations not previously used on your account and requires an additional OTP step to confirm it's really you. This is a fraud-prevention measure and doesn't affect your normal usage once verified.",N/A,"naya device, login verification, OTP, security"
FAQ-058,login_security,How long can I stay logged in before the app logs me out automatically?,"The app automatically logs out after 15 minutes of inactivity for security. You'll need to re-enter your MPIN or use biometric login to resume your session.",N/A,"auto logout, session timeout, 15 minute, MPIN"
FAQ-059,login_security,I received a "Suspicious Login Attempt" SMS alert I didn't make — what should I do?,"Immediately change your password and MPIN under Profile > Security, and enable biometric login for extra protection. If you suspect your account was accessed without permission, file a fraud report right away.",N/A,"suspicious login, shak, password badlo, fraud report"
FAQ-060,login_security,What's the difference between my App PIN and my MPIN?,"The App PIN (or biometric) only unlocks the app to view your balance and history. The MPIN is a separate 4-digit code required specifically to authorize money transfers and bill payments, adding a second layer of security.",N/A,"app PIN, MPIN farq, security layer, transfer authorize"
FAQ-061,fees_limits,What is my daily transaction limit?,"Verified accounts can send up to PKR 200,000 per day across all transaction types combined. Basic (unverified) accounts are limited to PKR 5,000 per day.",N/A,"daily limit, roz ki hadd, PKR, verified"
FAQ-062,fees_limits,What is the monthly transaction limit for Basic vs Verified accounts?,"Basic accounts are capped at PKR 25,000 per month in total transactions. Verified accounts can transact up to PKR 500,000 per month, with higher limits available on request for business accounts.",N/A,"monthly limit, basic vs verified, hadd, PKR"
FAQ-063,fees_limits,Is there a fee for transferring money to EasyPaisa or JazzCash?,"Transfers to EasyPaisa and JazzCash wallets cost a flat PKR 15 fee per transaction up to PKR 25,000, and 0.1% of the amount above that, capped at PKR 200 per transaction.",EasyPaisa,"transfer fee, EasyPaisa charge, JazzCash charge, PKR 15"
FAQ-064,fees_limits,How much does it cost to withdraw money to my bank account?,"Bank transfers via 1-Link cost a PKR 25 flat fee per transaction. Same-bank transfers (if you hold an account with our partner bank) are free of charge.",Bank Transfer,"bank withdrawal fee, 1-Link, PKR 25, mufat"
FAQ-065,fees_limits,Are there fees for paying utility bills through Zar Labs?,"Electricity, gas, and water bill payments are free of charge. Telecom postpaid bill payments carry a PKR 10 convenience fee per transaction.",N/A,"bill payment fee, bijli bill, mufat, PKR 10"
FAQ-066,fees_limits,Is there a fee to top up my wallet using a debit card?,"Yes, debit card top-ups incur a 1.5% processing fee charged by the card network, with a minimum fee of PKR 20 per transaction. EasyPaisa, JazzCash, and bank transfer top-ups have no fee.",Debit Card,"card top-up fee, 1.5%, mufat, processing charge"
FAQ-067,fees_limits,Does Zar Labs charge a fee for an inactive or dormant account?,"No dormancy fee is charged. However, accounts inactive for 12 consecutive months are automatically frozen for security and require re-verification via OTP and a fresh selfie to reactivate.",N/A,"dormant account, koi fee nahi, 12 month, reactivate"
FAQ-068,fees_limits,What is the maximum balance I can hold in my Zar Labs wallet?,"Verified accounts can hold up to PKR 1,000,000 at any time. Basic accounts are capped at a PKR 25,000 wallet balance in line with SBP regulations for unverified e-wallets.",N/A,"maximum balance, wallet hadd, PKR 1 million, SBP"
FAQ-069,fees_limits,Is there a fee or limit for ATM withdrawals using my linked debit card?,"ATM withdrawals with the Zar Labs debit card cost PKR 25 per withdrawal at partner ATMs and PKR 35 at other banks' ATMs, with a daily withdrawal cap of PKR 50,000.",Debit Card,"ATM withdrawal, fee, daily cap, PKR 25"
FAQ-070,fees_limits,Can I send money internationally through Zar Labs?,"International outbound transfers are not currently supported. Zar Labs only supports domestic transfers within Pakistan to EasyPaisa, JazzCash, and local bank accounts.",N/A,"international transfer, bahar mulk, not supported, domestic only"
FAQ-071,fraud_report,How do I report an unauthorized transaction on my account?,"Go to Help > Report Fraud > Unauthorized Transaction, select the transaction, and describe what happened. Our Fraud team responds within 24 hours and, if confirmed, funds are typically restored within 10 business days.",N/A,"unauthorized transaction, dhoka report, fraud team, wapis paisa"
FAQ-072,fraud_report,My phone was lost or stolen — how do I freeze my Zar Labs account?,"Call our 24/7 helpline at 0800-ZARLABS immediately, or use another device to log in and select ""Freeze Account"" under Profile > Security. This blocks all transactions instantly until you regain access.",N/A,"phone chori, freeze account, helpline, foran block"
FAQ-073,fraud_report,I received a suspicious SMS or call claiming to be from Zar Labs asking for my OTP — is this real?,"No, Zar Labs staff will never ask for your OTP, MPIN, or password over phone, SMS, or email. This is a phishing attempt — do not share any codes, and report the number under Help > Report Fraud > Phishing.",N/A,"phishing, jhooti call, OTP mat batao, dhoka"
FAQ-074,fraud_report,Someone claiming to be a Zar Labs agent asked me to send money to "activate" my account — is this legitimate?,"This is a scam. Zar Labs agents never ask customers to send money for activation, upgrades, or unlocking accounts. Do not transfer any funds and report the agent's number immediately under Help > Report Fraud.",N/A,"fake agent, activation scam, paisa mat bhejo, dhoka"
FAQ-075,fraud_report,I scanned a QR code that looks suspicious — what should I do?,"Do not proceed with payment if the merchant name displayed doesn't match what you expect. Report the QR code under Help > Report Fraud > Suspicious QR, including a screenshot if possible, so we can investigate and blacklist it if needed.",N/A,"QR code shak, fake QR, report karo, merchant"
FAQ-076,fraud_report,Can I request a chargeback for a fraudulent card transaction?,"Yes, submit a chargeback request under Help > Report Fraud > Card Dispute within 60 days of the transaction. We coordinate with the card network, and investigations typically resolve within 30-45 business days.",Debit Card,"chargeback, card fraud, dispute, 45 din"
FAQ-077,fraud_report,What happens after I submit a fraud report — how long does the investigation take?,"You'll receive a case reference number immediately. Standard investigations take 5-10 business days; complex cases involving third-party banks or wallets can take up to 30 days. You'll get SMS updates at each stage.",N/A,"fraud investigation, tehqeeqat, case number, kitne din"
FAQ-078,fraud_report,I was scammed into sending money to a fraudulent seller — can I get my money back?,"File a fraud report with all evidence (chat screenshots, seller details) under Help > Report Fraud > Scam Payment. While completed transfers can't be reversed unilaterally, we attempt recovery from the receiving account and may involve law enforcement for larger amounts.",N/A,"scam, jhoota seller, raqam wapis, tehqeeqat"
FAQ-079,fraud_report,I accidentally shared my OTP with someone and now I'm worried about my account — what should I do?,"Immediately change your password and MPIN under Profile > Security, and call our fraud helpline to place a temporary freeze on your account while we check for unauthorized activity in the last 24 hours.",N/A,"OTP share, ghalti se, freeze, password change"
FAQ-080,fraud_report,How do I report a merchant I believe is running a fraud scheme?,"Submit a Merchant Fraud Report under Help > Report Fraud > Report Merchant with the merchant's name, transaction IDs, and details of the scheme. Confirmed fraudulent merchants are blacklisted from the Zar Labs network within 5 business days.",N/A,"fake merchant, blacklist, report karo, dhoka scheme"
FAQ-081,agent_escalation,How do I reach a human support agent within the app?,"Go to Help > Chat with Us to start a live chat with a support agent, available daily from 8 AM to midnight. For urgent issues outside these hours, use the automated helpline at 0800-ZARLABS.",N/A,"live agent, chat karo, madad, helpline"
FAQ-082,agent_escalation,How do I escalate a complaint that hasn't been resolved by chat support?,"Reply ""Escalate"" in your existing chat thread or email escalations@zarlabs.pk with your case reference number. Escalated cases are reviewed by a senior support officer within 2 business days.",N/A,"escalate, shikayat, senior officer, case number"
FAQ-083,agent_escalation,Can I visit a physical Zar Labs branch or agent for support?,"Yes, Zar Labs has partner agent locations in major cities for cash top-ups, withdrawals, and in-person KYC help. Use the in-app ""Find Nearest Agent"" map under Help > Locate Agent to find one near you.",N/A,"physical branch, agent location, nazdeeki agent, madad"
FAQ-084,agent_escalation,What information should I have ready before contacting support about a transaction issue?,"Have your registered mobile number, the transaction reference/TID, the amount, and the approximate date and time ready. This lets the agent locate and resolve your case faster without back-and-forth.",N/A,"support info, transaction ID, taiyari, madad"
FAQ-085,agent_escalation,How long does it typically take for support to respond to an in-app chat message?,"Live chat agents typically respond within 5 minutes during operating hours (8 AM-midnight). Outside these hours, messages are queued and answered first thing the next morning.",N/A,"chat response time, jawab, wait time, madad"
FAQ-086,agent_escalation,Can I request a callback from Zar Labs support instead of waiting on hold?,"Yes, select ""Request Callback"" in the Help section and choose a preferred time slot. A support agent will call your registered number within 2 hours during business hours.",N/A,"callback request, wapis call, wait, madad"
FAQ-087,agent_escalation,How do I file a formal written complaint with Zar Labs?,"Email complaints@zarlabs.pk with your account details, a description of the issue, and any supporting screenshots. Formal complaints are acknowledged within 24 hours and resolved within 10 business days per SBP consumer protection guidelines.",N/A,"formal complaint, shikayat likhna, SBP, likhna"
FAQ-088,agent_escalation,What should I do if I'm not satisfied with how support resolved my case?,"Request a supervisor review by replying ""Reopen"" in the resolved chat thread, explaining why the resolution is unsatisfactory. A supervisor will re-examine the case within 3 business days.",N/A,"unsatisfied, supervisor, reopen case, dobara"
FAQ-089,agent_escalation,Does Zar Labs support have a dedicated line for urgent fraud or lost-phone cases?,"Yes, call 0800-ZARLABS and select Option 1 for the priority Fraud & Lost Device line, available 24/7. This bypasses the general queue for time-sensitive security issues.",N/A,"urgent line, fraud helpline, 24/7, foran madad"
FAQ-090,agent_escalation,Can I track my support ticket status online?,"Yes, go to Help > My Tickets to see the real-time status of any open case — Submitted, In Progress, Awaiting Response, or Resolved — along with the assigned agent's notes.",N/A,"ticket status, track karna, case dekhna, madad"
FAQ-091,app_technical,The Zar Labs app keeps crashing when I open it — how do I fix this?,"First, force-close the app and restart your phone. If the crash continues, update to the latest app version from the Play Store or App Store, or clear the app cache under phone Settings > Apps > Zar Labs > Storage.",N/A,"app crash, band ho jata, update, cache clear"
FAQ-092,app_technical,Why is the Zar Labs app not loading my balance correctly?,"This is usually a temporary sync issue. Pull down on the home screen to refresh, or log out and back in. If your balance still looks wrong after 10 minutes, contact support with a screenshot rather than attempting further transactions.",N/A,"balance galat, load nahi, refresh, sync"
FAQ-093,app_technical,What are the minimum phone requirements to run the Zar Labs app?,"Zar Labs requires Android 8.0 or higher, or iOS 14 or higher, with at least 150MB of free storage. Devices with rooted or jailbroken operating systems are not supported for security reasons.",N/A,"phone requirements, Android, iOS, purana phone"
FAQ-094,app_technical,I'm not receiving push notifications for transactions — how do I fix this?,"Check that notifications are enabled for Zar Labs under phone Settings > Apps > Notifications, and that Battery Optimization isn't restricting the app in the background. Also verify notifications are turned on under in-app Profile > Notification Settings.",N/A,"notification nahi aa raha, push notification, settings, background"
FAQ-095,app_technical,Why does the app say "No Internet Connection" even though my internet is working?,"This can happen if the app's connection to our servers times out. Switch between Wi-Fi and mobile data, ensure no VPN is active, and restart the app. If the issue persists across networks, our servers may be undergoing maintenance — check the in-app status banner.",N/A,"internet error, connection nahi, VPN, server down"
FAQ-096,app_technical,How do I update the Zar Labs app to the latest version?,"Go to the Google Play Store or Apple App Store, search for Zar Labs, and tap Update if available. We recommend enabling auto-updates to always have the latest security patches and features.",N/A,"app update, naya version, Play Store, App Store"
FAQ-097,app_technical,I switched to a new phone — how do I transfer my Zar Labs account?,"Simply download the app on your new phone and log in with your registered mobile number and password; your account and balance carry over automatically. You'll need to complete an OTP and selfie check since it's a new device.",N/A,"naya phone, account transfer, login, OTP"
FAQ-098,app_technical,Why is the app running very slowly or lagging on my device?,"Slow performance is often caused by low phone storage or too many background apps running. Clear at least 500MB of storage and close other apps; also ensure you're on the latest app version, as older versions are less optimized.",N/A,"app slow, lag ho raha, storage, purana version"
FAQ-099,app_technical,Can I use my Zar Labs account on two devices at the same time?,"Zar Labs allows login on only one active device at a time for security. Logging in on a new device automatically logs out the previous session, and you'll receive an SMS alert about the device switch.",N/A,"do devices, ek waqt, logout, session switch"
FAQ-100,app_technical,The app is stuck on a loading screen and won't proceed past the splash screen — what should I do?,"Force-close the app, restart your device, and reopen it. If the splash screen persists, uninstall and reinstall the app — your account data is stored securely on our servers, not on your device, so nothing will be lost.",N/A,"splash screen, atka hua, reinstall, loading"
